Count - point,direction,point,,,,,,,,,,,,,,,,,,,,,,
,c,,,,cc,,,,Total Result,c,c,c,c,cc,cc,cc,cc,totals,totals,totals,totals,totals,totals,
country,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,c,cc,country
HK,9,17,,2,,198,,3,229,3.93%,7.42%,0.00%,0.87%,0.00%,86.46%,0.00%,1.31%,3.93%,93.89%,0.00%,2.18%,12.23%,87.77%,HK
SG,7,39,,1,1,173,,6,227,3.08%,17.18%,0.00%,0.44%,0.44%,76.21%,0.00%,2.64%,3.52%,93.39%,0.00%,3.08%,20.70%,79.30%,SG
BE,27,31,1,4,5,144,1,4,217,12.44%,14.29%,0.46%,1.84%,2.30%,66.36%,0.46%,1.84%,14.75%,80.65%,0.92%,3.69%,29.03%,70.97%,BE
ZA,5,50,,2,2,142,1,14,216,2.31%,23.15%,0.00%,0.93%,0.93%,65.74%,0.46%,6.48%,3.24%,88.89%,0.46%,7.41%,26.39%,73.61%,ZA
EE,14,19,1,2,4,136,,9,185,7.57%,10.27%,0.54%,1.08%,2.16%,73.51%,0.00%,4.86%,9.73%,83.78%,0.54%,5.95%,19.46%,80.54%,EE
AR,31,26,1,3,2,111,2,4,180,17.22%,14.44%,0.56%,1.67%,1.11%,61.67%,1.11%,2.22%,18.33%,76.11%,1.67%,3.89%,33.89%,66.11%,AR
IL,7,60,1,7,4,77,3,18,177,3.95%,33.90%,0.56%,3.95%,2.26%,43.50%,1.69%,10.17%,6.21%,77.40%,2.26%,14.12%,42.37%,57.63%,IL
LT,12,18,,3,2,126,1,1,163,7.36%,11.04%,0.00%,1.84%,1.23%,77.30%,0.61%,0.61%,8.59%,88.34%,0.61%,2.45%,20.25%,79.75%,LT
EG,11,60,3,6,1,28,2,40,151,7.28%,39.74%,1.99%,3.97%,0.66%,18.54%,1.32%,26.49%,7.95%,58.28%,3.31%,30.46%,52.98%,47.02%,EG
LV,5,22,,3,2,115,,4,151,3.31%,14.57%,0.00%,1.99%,1.32%,76.16%,0.00%,2.65%,4.64%,90.73%,0.00%,4.64%,19.87%,80.13%,LV
